Team,Home,Road
Milwaukee Bucks,30-5,26-12
Toronto Raptors,26-10,27-9
Los Angeles Lakers,25-10,27-9
Los Angeles Clippers,27-9,22-14
Boston Celtics,26-10,22-14
Denver Nuggets,26-11,20-16
Indiana Pacers,25-11,20-17
Houston Rockets,24-12,20-16
Miami Heat,29-7,15-22
Oklahoma City Thunder,23-14,21-14
Utah Jazz,23-12,21-16
Dallas Mavericks,20-18,23-14
Philadelphia 76ers,31-4,26-Dec
Brooklyn Nets,20-16,15-21
Portland Trail Blazers,21-15,14-24
Memphis Grizzlies,20-17,14-22
Phoenix Suns,17-22,17-17
Orlando Magic,18-17,15-23
San Antonio Spurs,19-15,13-24
Sacramento Kings,16-19,15-22
New Orleans Pelicans,15-21,15-21
Washington Wizards,16-20,27-Sep
Charlotte Hornets,21-Oct,13-21
Chicago Bulls,14-20,23-Aug
New York Knicks,22-Nov,23-Oct
Atlanta Hawks,14-20,27-Jun
Detroit Pistons,22-Nov,24-Sep
Cleveland Cavaliers,25-Nov,21-Aug
Minnesota Timberwolves,24-Aug,21-Nov
Golden State Warriors,26-Aug,24-Jul
