Rk,Team,Conf,Div,W,L,W/L%,Adjusted MOV/A,Adjusted ORtg/A,Adjusted DRtg/A,Adjusted NRtg/A,,,,
1,Milwaukee Bucks,E,C,56,17,0.767,9.41,112.69,103.73,8.96,,,,
2,Los Angeles Clippers,W,P,49,23,0.681,6.66,114.56,107.94,6.62,,,,
3,Los Angeles Lakers,W,P,52,19,0.732,6.28,112.83,106.68,6.16,,,,
4,Toronto Raptors,E,A,53,19,0.736,5.97,111.99,106.08,5.9,,,,
5,Boston Celtics,E,A,48,24,0.667,5.83,114.01,108.15,5.86,,,,
6,Dallas Mavericks,W,SW,43,32,0.573,4.87,117.41,112.52,4.9,,,,
7,Houston Rockets,W,SW,44,28,0.611,3.13,113.68,110.59,3.08,,,,
8,Utah Jazz,W,NW,44,28,0.611,2.52,113.09,110.38,2.71,,,,
9,Miami Heat,E,SE,44,29,0.603,2.59,113.22,110.65,2.58,,,,
10,Oklahoma City Thunder,W,NW,44,28,0.611,2.32,111.74,109.32,2.42,,,,
11,Denver Nuggets,W,NW,46,27,0.63,2.35,114.06,111.66,2.4,,,,
12,Philadelphia 76ers,E,A,43,30,0.589,2.25,112.15,109.97,2.18,,,,
13,Indiana Pacers,E,C,45,28,0.616,1.63,110.94,109.17,1.77,,,,
14,Phoenix Suns,W,P,34,39,0.466,0.56,112.41,111.94,0.47,,,,
15,New Orleans Pelicans,W,SW,30,42,0.417,-0.55,111.73,112.18,-0.46,,,,
16,Portland Trail Blazers,W,NW,35,39,0.473,-0.61,114.48,115.09,-0.61,,,,
17,San Antonio Spurs,W,SW,32,39,0.451,-0.65,113.13,113.86,-0.73,,,,
18,Memphis Grizzlies,W,SW,34,39,0.466,-0.91,109.87,110.65,-0.78,,,,
19,Brooklyn Nets,E,A,35,37,0.486,-1.01,109.63,110.64,-1.01,,,,
20,Orlando Magic,E,SE,33,40,0.452,-0.93,109.18,110.27,-1.09,,,,
21,Sacramento Kings,W,P,31,41,0.431,-1.59,111.17,112.65,-1.48,,,,
22,Minnesota Timberwolves,W,NW,19,45,0.297,-4.02,108.9,112.73,-3.83,,,,
23,Chicago Bulls,E,C,22,43,0.338,-4,107.22,111.29,-4.07,,,,
24,Detroit Pistons,E,C,20,46,0.303,-4.38,109.77,114.23,-4.45,,,,
25,Washington Wizards,E,SE,25,47,0.347,-5.24,111.64,116.7,-5.05,,,,
26,New York Knicks,E,A,21,45,0.318,-6.72,106.91,113.6,-6.7,,,,
27,Charlotte Hornets,E,SE,23,42,0.354,-7.04,107.38,114.56,-7.18,,,,
28,Atlanta Hawks,E,SE,20,47,0.299,-7.71,108.18,115.56,-7.37,,,,
29,Cleveland Cavaliers,E,C,19,46,0.292,-7.77,108.46,116.41,-7.94,,,,
30,Golden State Warriors,W,P,15,50,0.231,-8.12,105.98,114.11,-8.13,,,,
